Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Dense2 active,Dense2 num nodes,Dense2 batch normalization,Dense2 activation,Dense2 dropout,Dense3 active,Dense3 num nodes,Dense3 batch normalization,Dense3 activation,Dense3 dropout,Optimizer,Val Loss,Val Accuracy
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,0,0,9,1,256,1,0,6,0,512,0,1,2,0,0.06529839336872101,0.9800000190734863
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,1,2,0,0.07805467396974564,0.9799000024795532
1,16,1,1,3,0,1,16,1,1,10,1,0,16,1,1,3,0,1,64,1,1,10,2,1,64,0,0,2,2,1,64,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.8330981731414795,0.758400022983551
1,128,1,0,0,1,0,32,0,1,0,0,1,16,0,0,7,0,1,8,0,1,4,0,0,16,0,0,10,0,0,32,1,1,6,1,256,0,0,0,1,256,1,0,1,0,512,0,1,2,0,0.034456804394721985,0.9879000186920166
1,8,0,0,4,0,1,8,1,1,5,1,1,128,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,0,5,2,0.32169631123542786,0.9121999740600586
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,1,0,8,1,1024,0,1,5,2,0.21516452729701996,0.9370999932289124
1,8,0,0,9,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,64,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.10657692700624466,0.9717000126838684
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,0,0,0,1,256,1,0,1,0,512,0,1,2,0,0.036483317613601685,0.9879999756813049
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.0956486314535141,0.9771999716758728
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.03717465698719025,0.9868999719619751
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,0,0,0,1,256,1,0,1,0,512,0,1,2,0,0.04292323812842369,0.9851999878883362
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,0,0,4,0,256,1,1,2,0,0.027948077768087387,0.9905999898910522
