Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Dense2 active,Dense2 num nodes,Dense2 batch normalization,Dense2 activation,Dense2 dropout,Dense3 active,Dense3 num nodes,Dense3 batch normalization,Dense3 activation,Dense3 dropout,Optimizer,Val Loss,Val Accuracy
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,1,2,0,0.078054673969746,0.979900002479553
1,16,1,1,3,0,1,16,1,1,10,1,0,16,1,1,3,0,1,64,1,1,10,2,1,64,0,0,2,2,1,64,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.83309817314148,0.758400022983551
1,128,1,0,0,1,0,32,0,1,0,0,1,16,0,0,7,0,1,8,0,1,4,0,0,16,0,0,10,0,0,32,1,1,6,1,256,0,0,0,1,256,1,0,1,0,512,0,1,2,0,0.034456804394722,0.987900018692017
1,8,0,0,4,0,1,8,1,1,5,1,1,128,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,0,5,2,0.321696311235428,0.912199974060059
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,1,0,8,1,1024,0,1,5,2,0.21516452729702,0.937099993228912
1,8,0,0,9,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,64,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.106576927006245,0.971700012683868
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,0,0,0,1,256,1,0,1,0,512,0,1,2,0,0.036483317613602,0.987999975681305
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.095648631453514,0.977199971675873
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.03717465698719,0.986899971961975
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,0,0,0,1,256,1,0,1,0,512,0,1,2,0,0.042923238128424,0.985199987888336
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,0,0,4,0,256,1,1,2,0,0.027948077768087,0.990599989891052
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,1,2,0,0.056899677962065,0.980599999427795
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,0,0,9,1,256,1,0,6,0,512,0,1,2,0,0.053412664681673,0.986599981784821
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,0,256,1,1,1,0,0.077265150845051,0.979099988937378
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.075890958309174,0.979300022125244
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,64,1,1,4,1,32,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.054512780159712,0.983299970626831
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,9,3,2.28867316246033,0.113899998366833
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,128,1,1,2,0,0,32,1,1,6,1,256,0,0,9,1,256,1,0,6,0,512,0,1,2,0,0.071858145296574,0.9757000207901
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,16,0,1,1,1,0,256,1,0,0,0,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.045036543160677,0.985400021076202
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.067767880856991,0.981299996376038
1,64,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,0,10,0,0,16,0,0,1,1,512,1,0,7,0,1024,0,0,4,0,256,1,1,2,0,0.027788199484348,0.991100013256073
1,64,1,0,4,2,1,64,0,1,9,2,0,32,1,1,3,1,0,64,1,1,0,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.031676504760981,0.989799976348877
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,6,1,256,1,0,0,1,256,1,0,1,0,512,0,1,2,0,0.041632324457169,0.987399995326996
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,1,9,1,512,1,1,1,0,0.106386072933674,0.979499995708466
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,0,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.080578900873661,0.979900002479553
1,32,1,0,4,2,1,64,0,1,9,0,0,32,1,1,2,0,0,16,1,1,9,0,0,16,0,1,1,1,0,256,1,0,0,0,256,1,1,3,0,64,0,0,4,1,512,1,1,1,0,0.035017278045416,0.989199995994568
1,32,1,0,4,2,1,32,0,1,9,0,0,32,1,1,3,1,0,64,1,1,0,1,1,8,1,1,2,0,0,32,1,1,4,1,16,1,0,9,1,128,1,0,9,1,512,1,1,1,0,0.08356749266386,0.976899981498718
1,16,0,0,8,2,0,32,0,0,2,0,0,128,1,1,5,2,1,32,0,0,1,0,0,16,1,1,1,2,0,16,0,1,6,1,32,1,1,0,0,1024,0,0,9,0,64,1,1,9,2,0.7293066978,0.9588999748
1,32,0,0,0,1,1,64,1,0,4,2,1,128,0,0,9,1,1,8,1,1,7,1,1,64,0,1,9,2,1,1024,0,0,1,0,32,1,0,6,1,128,0,0,0,0,256,0,0,2,3,2.298812389,0.113499999
1,32,1,0,6,0,1,16,0,1,3,2,0,16,0,0,1,2,1,64,1,0,7,2,1,16,1,1,8,0,0,16,0,0,5,0,512,0,0,5,0,64,1,0,10,1,16,0,1,2,0,0.1463602036,0.9585999846
1,32,0,1,1,2,0,256,0,1,7,1,0,8,1,1,9,0,0,128,1,1,3,1,1,64,0,0,9,2,1,128,1,1,7,0,1024,1,1,2,1,512,0,1,8,0,512,0,1,8,3,2.065879583,0.5856000185
