Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Dense2 active,Dense2 num nodes,Dense2 batch normalization,Dense2 activation,Dense2 dropout,Dense3 active,Dense3 num nodes,Dense3 batch normalization,Dense3 activation,Dense3 dropout,Optimizer,Val Loss,Val Accuracy
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,128,0,0,7,1,64,0,0,7,0,16,0,0,0,0,0.2409907728433609,0.9222000241279602
1,256,1,0,9,1,1,256,0,1,7,0,1,256,1,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,0,0,2,1,16,0,0,1,1,1024,0,1,3,3,2.1176867485046387,0.28369998931884766
1,8,1,0,6,0,0,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,128,0,1,5,1,0.045891355723142624,0.9851999878883362
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,1024,1,0,3,0,256,0,0,7,1,128,0,0,2,1,128,0,1,5,1,0.12161489576101303,0.9660999774932861
1,8,1,0,6,0,0,256,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.07213911414146423,0.9833999872207642
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,0,0,1,1,16,1,0,9,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,2,1,16,0,0,1,1,1024,0,1,3,0,0.13635972142219543,0.9571999907493591
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,0,7,0,16,0,0,0,0,0.31111159920692444,0.8981000185012817
1,16,0,1,1,1,1,16,1,1,8,1,1,128,1,0,3,0,1,256,1,0,5,1,1,32,1,0,2,1,0,32,1,1,1,0,128,0,0,7,1,64,0,0,7,0,16,0,0,0,0,2.5756986141204834,0.2840000092983246
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,128,0,1,9,1,0.22876064479351044,0.9387999773025513
1,8,1,0,6,0,0,256,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.11420810222625732,0.9627000093460083
1,8,1,0,6,0,0,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.04224582388997078,0.988099992275238
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.17025001347064972,0.9477999806404114
1,16,0,1,1,1,1,16,0,0,7,0,1,16,1,0,0,1,1,16,1,0,9,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,2,1,16,0,0,1,1,1024,0,1,3,0,0.15190282464027405,0.9520000219345093
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,0,7,0,16,0,0,0,0,0.09731787443161011,0.9729999899864197
1,8,1,0,6,0,0,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,1,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,2,1,16,0,0,1,1,1024,0,1,2,0,0.05553643777966499,0.9828000068664551
1,16,0,1,2,1,1,16,0,0,10,0,1,256,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.052452366799116135,0.986299991607666
1,8,1,0,6,0,0,256,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.06831546127796173,0.9799000024795532
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,1,4,1,0,128,0,1,7,2,1,64,0,1,8,1,0,1024,1,0,3,0,256,0,0,7,1,128,0,1,2,1,128,0,1,5,1,0.4144400954246521,0.8600999712944031
1,16,0,1,1,1,1,16,0,0,7,0,1,8,1,0,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.16672012209892273,0.9477999806404114
1,16,0,1,1,1,1,128,1,1,0,1,1,256,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,128,0,1,9,1,3.2155332565307617,0.3578000068664551
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,128,0,1,9,1,3.010118007659912,0.39809998869895935
1,8,1,0,6,0,0,256,0,0,2,2,1,256,0,1,5,0,0,256,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.13542388379573822,0.9650999903678894
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.05222051218152046,0.9842000007629395
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,0,7,0,16,0,0,0,0,1.1253868341445923,0.6880000233650208
1,8,1,0,6,0,0,128,1,0,0,0,1,256,0,1,5,0,1,16,1,0,1,0,1,256,0,0,5,1,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.03849417343735695,0.9890000224113464
1,16,0,1,1,1,1,16,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.2060546576976776,0.9426000118255615
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.057064954191446304,0.9848999977111816
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,1.0617642402648926,0.7475000023841858
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.11491262167692184,0.967199981212616
1,8,0,1,1,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,128,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.05175473541021347,0.9857000112533569
1,8,1,0,6,0,0,256,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,0,1,0.036737218499183655,0.9891999959945679
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.056837309151887894,0.9848999977111816
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,5,0,1,16,1,1,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.046656131744384766,0.9872999787330627
1,8,1,0,6,0,0,256,0,0,2,2,1,256,0,1,5,0,0,256,1,0,5,2,1,32,0,1,5,1,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,2.2382442951202393,0.21570000052452087
1,16,0,1,1,1,1,16,0,0,7,0,1,8,1,0,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.07537282258272171,0.9758999943733215
1,8,1,0,6,0,0,256,0,0,2,2,1,256,0,1,5,0,0,256,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.1879836916923523,0.9495999813079834
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06040481477975845,0.9835000038146973
1,16,0,1,1,1,1,16,0,0,7,0,1,8,1,0,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.14756253361701965,0.9520999789237976
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.0799894854426384,0.9775000214576721
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.0857556015253067,0.9750000238418579
1,16,1,0,6,0,0,256,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,0,1,0.03078651800751686,0.9911999702453613
1,8,1,0,6,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.04292146489024162,0.9868999719619751
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.07900653034448624,0.9846000075340271
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,3.006906747817993,0.3723999857902527
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.28940969705581665,0.913100004196167
1,8,0,1,1,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,128,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,9,1,0.08073264360427856,0.9793000221252441
1,16,0,1,1,1,1,128,1,1,0,1,1,8,1,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.5711122751235962,0.8687999844551086
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.41228970885276794,0.8792999982833862
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.08476227521896362,0.9731000065803528
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.6484506130218506,0.8264999985694885
1,8,1,0,6,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.0333402082324028,0.9905999898910522
